Country Name,Country Code,Year,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)_scaled,Population growth (annual %)_scaled,People using safely managed sanitation services (% of population)_scaled,Access to electricity (% of population)_scaled,People using at least basic drinking water services (% of population)_scaled,Population living in slums (% of urban population)_scaled,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)_scaled",GDP growth (annual %)_scaled,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_scaled,"Population, total_scaled","Life expectancy at birth, total (years)_scaled",GDP per capita (current US$)_scaled
Sri Lanka,LKA,2003,,0.365730332989553,,0.7479838709677419,0.799672946662205,,0.4872812528732109,0.41434709678657805,-0.826121266283731,-0.09947626640770424,0.1760171486310716,-1.1215425176732041
"Hong Kong SAR, China",HKG,2017,,0.36679563968183165,0.853321504779141,1.0,1.0,,0.5727267154984829,0.3996079124880596,0.7175224334016428,-0.19564767783754564,1.570174438922164,1.334524156254659
Togo,TGO,2003,,0.42018549391799226,0.0368447997797461,0.22379032258064516,0.3752028443426821,,0.5412669710993286,0.4197082398658936,-1.111745984902447,-0.20974627765028456,-1.7744316499825064,-1.4777870299923916
Burkina Faso,BFA,2010,,0.43205462772431025,0.0655705087103087,0.12399193548387097,0.42720590031122646,0.544866813404907,0.7078059395016703,0.43157372989813514,-1.234969007378838,-0.12838532917892295,-1.6556503079914555,-1.3834552606117068
Benin,BEN,2015,0.6933614330874605,0.4329057881963583,0.022480740291030102,0.2903225806451613,0.5789693706613426,,0.7727481688068896,0.38573619397371384,-0.9163589856929594,-0.16526477493268452,-1.3393551636091574,-1.0852243701390136
Timor-Leste,TLS,2020,,0.40137470808154435,,0.9596774193548387,0.8029238599273965,0.3396594828519052,0.6551687149468264,0.5932230636245708,-0.9314572340071371,-0.2421097877280579,-0.45236345655721444,-0.777875686240675
Isle of Man,IMN,2019,,0.34902920764274137,0.848214285714286,1.0,0.9935387532219269,,,0.3752650296130911,,-0.2516217380477989,1.1201240220426962,1.7359942315516326
"Micronesia, Fed. Sts.",FSM,2020,,0.3608885608523865,,0.8175403225806452,0.8784310276799385,,,0.3620128790743209,-1.3577731445842158,-0.25141528647829875,-0.5708034728528878,-0.3208685329818638
Turkiye,TUR,2015,0.0136986301369863,0.38390554362537754,0.645275002869898,1.0,0.9539603436829944,,0.4322688406019184,0.4153384675737245,0.5029993903444547,0.34673111996052836,0.6421542732836907,0.4310053803622937
French Polynesia,PYF,2001,,0.39050755005694826,,1.0,0.9999985765462998,,0.5384473934230285,0.371164799121207,0.236646500881444,-0.25039538861570726,0.958108091970613,0.6088300320865833
Solomon Islands,SLB,2010,,0.4288970021855481,,0.34879032258064513,0.6741572391149702,0.06061769531722793,0.9404057740047194,0.4402496033105401,-0.8080529947529501,-0.24818321934633203,-0.2532568009208752,-0.7571938460707645
Antigua and Barbuda,ATG,2004,,0.37580695784587775,,0.9788306451612904,,,,0.41315673484630233,-0.14585963302469232,-0.25166185056388046,0.5044862428151352,0.5355478167323401
Ireland,IRL,2012,0.005268703898840885,0.35636607264815595,0.727379735905272,1.0,0.955962401499105,0.07714979404010827,0.5899353335989456,0.3707704658332069,1.0112545899025034,-0.2170415328325701,1.1322230466918144,1.377540217312061
Malta,MLT,2005,,0.36283045814028797,0.97569207127192,1.0,0.9999999948309664,,0.3922124490483925,0.3933150513044101,0.7993598568636457,-0.24917212535085134,0.9562876882619373,0.6582302344387198
Sint Maarten (Dutch part),SXM,2024,,0.38578031280740904,,,,,,0.3975723919052426,,-0.251932705772221,,1.2444376848645253
Equatorial Guinea,GNQ,2011,,0.47485412842711333,,0.658266129032258,0.5281422062480079,,0.5586288271169817,0.4183592087903535,0.5201534115912512,-0.24275472775848064,-1.3730326322196467,0.7105651399218322
Tuvalu,TUV,2005,,0.3815222519639959,0.43347616899442004,0.9546370967741935,0.9867600489049284,,,0.34154031270334967,-1.3577731445842158,-0.25218855899144277,-0.7735509359065768,-0.5593858601242646
Canada,CAN,2004,0.002107481559536354,0.37174687981189924,0.783018169597776,1.0,0.9905889141493702,0.0025048634428606583,0.6737258267185631,0.3947702516431211,1.7624171493059348,-0.0076778314231885645,1.035042348707361,1.1058423730630988
Latvia,LVA,2018,0.006322444678609062,0.3199779361254487,0.824505578384451,1.0,0.9838419809671985,0.00601167226286558,0.5861043856691899,0.4031384560892514,0.405697951079056,-0.23750641319971788,0.4423566412396392,0.7125447388059345
Aruba,ABW,2009,,0.36407115934610423,,1.0,0.9634024207003944,,,0.2932387614340435,0.5301963915326681,-0.25148659761799924,0.35032080373671376,0.9503628616319874
Guam,GUM,2009,,0.3522982422892866,,1.0,0.9953441869042958,,0.5916362744797572,0.3765285349877079,-1.35584518648008,-0.25099212929977316,0.5968717310303979,1.041939672826461
Greece,GRC,2000,0.002107481559536354,0.3559213265940819,0.7710524031857791,1.0,0.9961405657084188,0.0025048634428606583,0.4344448190260197,0.40195689183069827,1.0914984566380255,-0.16951398305328522,0.7956148609261341,0.46377970827039156
Australia,AUS,2011,,0.38558178663293957,0.946904667733618,1.0,0.998671406335389,,0.6500812160961107,0.39005952885436124,1.8160599200664551,-0.08118515052410719,1.2515482897909458,1.527110279329501
Seychelles,SYC,2015,,0.411000549305146,,1.0,0.9482477215765042,,,0.43478894393295825,1.250210748990649,-0.2515492782106161,0.38685652817027344,0.6380218060896184
Tonga,TON,2011,,0.3483320023689285,0.36572586760658904,0.9213709677419355,0.9803714285212493,,0.5069416776487173,0.41959499586504473,-0.556844944975797,-0.251440910090137,0.061673040679917336,-0.23523951922615224
France,FRA,2017,0.0,0.35232633115214773,0.892988482252302,1.0,1.0,,0.4929204082258113,0.38783598908957406,0.5699869019035084,0.2601923946137998,1.3289709475227143,1.2229065089442648
Moldova,MDA,2000,0.4320337197049526,0.3373953327355445,,0.9868951612903226,0.7899494899002335,0.2655155249432298,0.5642373348861441,0.3880016638057478,-0.06341232645266429,-0.22986762089039578,-0.3905835056940524,-1.6040327594073605
